epoch,loss,lr,val_loss
0,0.16863647345871863,1e-04,0.16811808356725974
1,0.16014494725534537,1e-04,0.1288525165684072
2,0.09397121539668578,1e-04,0.03940450808694286
3,0.04867275855648619,1e-04,0.02473300143404319
4,0.03828979008850544,1e-04,0.01837439326849628
5,0.03328896868794937,1e-04,0.01602416640723195
6,0.031026721034795847,1e-04,0.014789642383987356
7,0.028798569664212438,1e-04,0.014153932865472571
8,0.025359926336542316,1e-04,0.012989304733657784
9,0.024387742880497002,1e-04,0.012853227831638515
10,0.023148664074210717,1e-04,0.011792227709101162
11,0.02221378060002271,1e-04,0.011768630281306031
12,0.022527673061873955,1e-04,0.010507916322743697
13,0.02208004965690662,1e-04,0.011162638532374354
14,0.020984838498191587,1e-04,0.011423991736433986
15,0.021366108176408008,1e-04,0.0108611037169012
16,0.020757687363318678,1e-04,0.010218135074848698
17,0.020400094551152746,1e-04,0.01125058673904809
18,0.020005618128244883,1e-04,0.010804545398474526
19,0.02042768577226064,1e-04,0.011007332478144328
20,0.01993799348180987,1e-04,0.010323315495426245
21,0.019804134682949392,1e-04,0.010168380353563997
22,0.020065071474702666,1e-04,0.010097760620325875
23,0.019923233034948425,1e-04,0.009759076518553839
24,0.019466004048859755,1e-04,0.01047747860560459
25,0.019385474483216997,1e-04,0.009996961571644836
26,0.01892999277586485,1e-04,0.01077814266700005
27,0.019373882586693335,1e-04,0.010478830463460655
28,0.019247335433504844,1e-04,0.011181280026614483
29,0.018653037464056704,1e-04,0.010932071552489283
30,0.019201364666088187,1e-04,0.010902106440952455
31,0.0190377743349466,1e-04,0.009780859868310354
32,0.01923149012608684,1e-04,0.010111089764909976
33,0.01871252144492179,1e-04,0.009873071943442793
